OBCINE;TIP.STAVBE;Leto;Stevilo.gradbenih.dovoljenj
Gornja Radgona;Stanovanjske stavbe;2014;13
Gornja Radgona;Stanovanjske stavbe;2015;16
Gornja Radgona;Stanovanjske stavbe;2016;11
Gornja Radgona;Stanovanjske stavbe;2017;19
Gornja Radgona;Stanovanjske stavbe;2018;26
Gornja Radgona;Stanovanjske stavbe;2019;17
Gornja Radgona;Stanovanjske stavbe;2020;12
Gornja Radgona;Nestanovanjske stavbe;2007;11
Gornja Radgona;Nestanovanjske stavbe;2008;16
Gornja Radgona;Nestanovanjske stavbe;2009;14
Gornja Radgona;Nestanovanjske stavbe;2010;14
Gornja Radgona;Nestanovanjske stavbe;2011;3
Gornja Radgona;Nestanovanjske stavbe;2012;10
Gornja Radgona;Nestanovanjske stavbe;2013;3
Gornja Radgona;Nestanovanjske stavbe;2014;0
Gornja Radgona;Nestanovanjske stavbe;2015;52
Gornja Radgona;Nestanovanjske stavbe;2016;66
Gornja Radgona;Nestanovanjske stavbe;2017;82
Gornja Radgona;Nestanovanjske stavbe;2018;46
Gornja Radgona;Nestanovanjske stavbe;2019;59
Gornja Radgona;Nestanovanjske stavbe;2020;70
Gornji Grad;Stanovanjske stavbe;2007;6
Gornji Grad;Stanovanjske stavbe;2008;7
Gornji Grad;Stanovanjske stavbe;2009;4
Gornji Grad;Stanovanjske stavbe;2010;5
Gornji Grad;Stanovanjske stavbe;2011;0
Gornji Grad;Stanovanjske stavbe;2012;1
Gornji Grad;Stanovanjske stavbe;2013;2
Gornji Grad;Stanovanjske stavbe;2014;0
Gornji Grad;Stanovanjske stavbe;2015;3
Gornji Grad;Stanovanjske stavbe;2016;1
Gornji Grad;Stanovanjske stavbe;2017;4
Gornji Grad;Stanovanjske stavbe;2018;2
Gornji Grad;Stanovanjske stavbe;2019;2
Gornji Grad;Stanovanjske stavbe;2020;4
Gornji Grad;Nestanovanjske stavbe;2007;1
Gornji Grad;Nestanovanjske stavbe;2008;1
Gornji Grad;Nestanovanjske stavbe;2009;0
Gornji Grad;Nestanovanjske stavbe;2010;1
Gornji Grad;Nestanovanjske stavbe;2011;2
Gornji Grad;Nestanovanjske stavbe;2012;1
Gornji Grad;Nestanovanjske stavbe;2013;0
Gornji Grad;Nestanovanjske stavbe;2014;0
Gornji Grad;Nestanovanjske stavbe;2015;4
Gornji Grad;Nestanovanjske stavbe;2016;9
Gornji Grad;Nestanovanjske stavbe;2017;0
Gornji Grad;Nestanovanjske stavbe;2018;6
Gornji Grad;Nestanovanjske stavbe;2019;13
Gornji Grad;Nestanovanjske stavbe;2020;12
Gornji Petrovci;Stanovanjske stavbe;2007;6
Gornji Petrovci;Stanovanjske stavbe;2008;10
Gornji Petrovci;Stanovanjske stavbe;2009;1
Gornji Petrovci;Stanovanjske stavbe;2010;4
Gornji Petrovci;Stanovanjske stavbe;2011;4
Gornji Petrovci;Stanovanjske stavbe;2012;6
Gornji Petrovci;Stanovanjske stavbe;2013;2
Gornji Petrovci;Stanovanjske stavbe;2014;3
Gornji Petrovci;Stanovanjske stavbe;2015;4
Gornji Petrovci;Stanovanjske stavbe;2016;4
Gornji Petrovci;Stanovanjske stavbe;2017;4
Gornji Petrovci;Stanovanjske stavbe;2018;7
Gornji Petrovci;Stanovanjske stavbe;2019;1
Gornji Petrovci;Stanovanjske stavbe;2020;7
Gornji Petrovci;Nestanovanjske stavbe;2007;3
Gornji Petrovci;Nestanovanjske stavbe;2008;4
Gornji Petrovci;Nestanovanjske stavbe;2009;1
Gornji Petrovci;Nestanovanjske stavbe;2010;1
Gornji Petrovci;Nestanovanjske stavbe;2011;1
Gornji Petrovci;Nestanovanjske stavbe;2012;0
Gornji Petrovci;Nestanovanjske stavbe;2013;1
Gornji Petrovci;Nestanovanjske stavbe;2014;0
Gornji Petrovci;Nestanovanjske stavbe;2015;6
Gornji Petrovci;Nestanovanjske stavbe;2016;6
Gornji Petrovci;Nestanovanjske stavbe;2017;8
Gornji Petrovci;Nestanovanjske stavbe;2018;22
Gornji Petrovci;Nestanovanjske stavbe;2019;11
Gornji Petrovci;Nestanovanjske stavbe;2020;8
Grad;Stanovanjske stavbe;2007;5
Grad;Stanovanjske stavbe;2008;6
Grad;Stanovanjske stavbe;2009;4
Grad;Stanovanjske stavbe;2010;4
Grad;Stanovanjske stavbe;2011;3
Grad;Stanovanjske stavbe;2012;2
Grad;Stanovanjske stavbe;2013;10
Grad;Stanovanjske stavbe;2014;7
Grad;Stanovanjske stavbe;2015;2
Grad;Stanovanjske stavbe;2016;4
Grad;Stanovanjske stavbe;2017;5
Grad;Stanovanjske stavbe;2018;4
Grad;Stanovanjske stavbe;2019;3
Grad;Stanovanjske stavbe;2020;3
Grad;Nestanovanjske stavbe;2007;3
Grad;Nestanovanjske stavbe;2008;2
Grad;Nestanovanjske stavbe;2009;2
Grad;Nestanovanjske stavbe;2010;2
Grad;Nestanovanjske stavbe;2011;1
Grad;Nestanovanjske stavbe;2012;2
Grad;Nestanovanjske stavbe;2013;3
Grad;Nestanovanjske stavbe;2014;2
Grad;Nestanovanjske stavbe;2015;3
Grad;Nestanovanjske stavbe;2016;3
Grad;Nestanovanjske stavbe;2017;8
Grad;Nestanovanjske stavbe;2018;7
Grad;Nestanovanjske stavbe;2019;5
Grad;Nestanovanjske stavbe;2020;6
Grosuplje;Stanovanjske stavbe;2007;57
Grosuplje;Stanovanjske stavbe;2008;68
Grosuplje;Stanovanjske stavbe;2009;49
Grosuplje;Stanovanjske stavbe;2010;41
Grosuplje;Stanovanjske stavbe;2011;29
Grosuplje;Stanovanjske stavbe;2012;19
Grosuplje;Stanovanjske stavbe;2013;39
Grosuplje;Stanovanjske stavbe;2014;30
Grosuplje;Stanovanjske stavbe;2015;25
Grosuplje;Stanovanjske stavbe;2016;22
Grosuplje;Stanovanjske stavbe;2017;36
Grosuplje;Stanovanjske stavbe;2018;32
Grosuplje;Stanovanjske stavbe;2019;33
Grosuplje;Stanovanjske stavbe;2020;40
Grosuplje;Nestanovanjske stavbe;2007;7
Grosuplje;Nestanovanjske stavbe;2008;10
Grosuplje;Nestanovanjske stavbe;2009;11
Grosuplje;Nestanovanjske stavbe;2010;7
Grosuplje;Nestanovanjske stavbe;2011;14
Grosuplje;Nestanovanjske stavbe;2012;11
Grosuplje;Nestanovanjske stavbe;2013;16
Grosuplje;Nestanovanjske stavbe;2014;5
Grosuplje;Nestanovanjske stavbe;2015;4
Grosuplje;Nestanovanjske stavbe;2016;37
Grosuplje;Nestanovanjske stavbe;2017;46
Grosuplje;Nestanovanjske stavbe;2018;32
Grosuplje;Nestanovanjske stavbe;2019;13
Grosuplje;Nestanovanjske stavbe;2020;23
Hajdina;Stanovanjske stavbe;2007;3
Hajdina;Stanovanjske stavbe;2008;6
Hajdina;Stanovanjske stavbe;2009;5
Hajdina;Stanovanjske stavbe;2010;6
Hajdina;Stanovanjske stavbe;2011;5
Hajdina;Stanovanjske stavbe;2012;4
Hajdina;Stanovanjske stavbe;2013;3
Hajdina;Stanovanjske stavbe;2014;6
Hajdina;Stanovanjske stavbe;2015;7
Hajdina;Stanovanjske stavbe;2016;12
Hajdina;Stanovanjske stavbe;2017;8
Hajdina;Stanovanjske stavbe;2018;4
Hajdina;Stanovanjske stavbe;2019;13
Hajdina;Stanovanjske stavbe;2020;16
Hajdina;Nestanovanjske stavbe;2007;3
Hajdina;Nestanovanjske stavbe;2008;2
Hajdina;Nestanovanjske stavbe;2009;0
Hajdina;Nestanovanjske stavbe;2010;1
Hajdina;Nestanovanjske stavbe;2011;0
Hajdina;Nestanovanjske stavbe;2012;1
Hajdina;Nestanovanjske stavbe;2013;1
Hajdina;Nestanovanjske stavbe;2014;1
Hajdina;Nestanovanjske stavbe;2015;1
Hajdina;Nestanovanjske stavbe;2016;6
Hajdina;Nestanovanjske stavbe;2017;2
Hajdina;Nestanovanjske stavbe;2018;4
Hajdina;Nestanovanjske stavbe;2019;7
Hajdina;Nestanovanjske stavbe;2020;6
Hoce - Slivnica;Stanovanjske stavbe;2007;86
Hoce - Slivnica;Stanovanjske stavbe;2008;58
Hoce - Slivnica;Stanovanjske stavbe;2009;30
Hoce - Slivnica;Stanovanjske stavbe;2010;53
Hoce - Slivnica;Stanovanjske stavbe;2011;39
Hoce - Slivnica;Stanovanjske stavbe;2012;38
Hoce - Slivnica;Stanovanjske stavbe;2013;17
Hoce - Slivnica;Stanovanjske stavbe;2014;12
Hoce - Slivnica;Stanovanjske stavbe;2015;25
Hoce - Slivnica;Stanovanjske stavbe;2016;24
Hoce - Slivnica;Stanovanjske stavbe;2017;32
Hoce - Slivnica;Stanovanjske stavbe;2018;56
Hoce - Slivnica;Stanovanjske stavbe;2019;21
Hoce - Slivnica;Stanovanjske stavbe;2020;32
Hoce - Slivnica;Nestanovanjske stavbe;2007;19
Hoce - Slivnica;Nestanovanjske stavbe;2008;13
Hoce - Slivnica;Nestanovanjske stavbe;2009;2
Hoce - Slivnica;Nestanovanjske stavbe;2010;3
Hoce - Slivnica;Nestanovanjske stavbe;2011;5
Hoce - Slivnica;Nestanovanjske stavbe;2012;5
Hoce - Slivnica;Nestanovanjske stavbe;2013;6
Hoce - Slivnica;Nestanovanjske stavbe;2014;5
Hoce - Slivnica;Nestanovanjske stavbe;2015;4
Hoce - Slivnica;Nestanovanjske stavbe;2016;27
Hoce - Slivnica;Nestanovanjske stavbe;2017;38
Hoce - Slivnica;Nestanovanjske stavbe;2018;35
Hoce - Slivnica;Nestanovanjske stavbe;2019;26
Hoce - Slivnica;Nestanovanjske stavbe;2020;29
Hodos/Hodos;Stanovanjske stavbe;2007;0
Hodos/Hodos;Stanovanjske stavbe;2008;2
Hodos/Hodos;Stanovanjske stavbe;2009;0
Hodos/Hodos;Stanovanjske stavbe;2010;1
Hodos/Hodos;Stanovanjske stavbe;2011;0
Hodos/Hodos;Stanovanjske stavbe;2012;0
Hodos/Hodos;Stanovanjske stavbe;2013;0
Hodos/Hodos;Stanovanjske stavbe;2014;1
Hodos/Hodos;Stanovanjske stavbe;2015;0
Hodos/Hodos;Stanovanjske stavbe;2016;0
Hodos/Hodos;Stanovanjske stavbe;2017;0
Hodos/Hodos;Stanovanjske stavbe;2018;0
Hodos/Hodos;Stanovanjske stavbe;2019;0
Hodos/Hodos;Stanovanjske stavbe;2020;0
Hodos/Hodos;Nestanovanjske stavbe;2007;0
Hodos/Hodos;Nestanovanjske stavbe;2008;0
Hodos/Hodos;Nestanovanjske stavbe;2009;1
Hodos/Hodos;Nestanovanjske stavbe;2010;0
Hodos/Hodos;Nestanovanjske stavbe;2011;0
Hodos/Hodos;Nestanovanjske stavbe;2012;0
Hodos/Hodos;Nestanovanjske stavbe;2013;0
Hodos/Hodos;Nestanovanjske stavbe;2014;0
Hodos/Hodos;Nestanovanjske stavbe;2015;1
Hodos/Hodos;Nestanovanjske stavbe;2016;2
Hodos/Hodos;Nestanovanjske stavbe;2017;0
Hodos/Hodos;Nestanovanjske stavbe;2018;1
Hodos/Hodos;Nestanovanjske stavbe;2019;0
Hodos/Hodos;Nestanovanjske stavbe;2020;0
Horjul;Stanovanjske stavbe;2007;1
Horjul;Stanovanjske stavbe;2008;3
Horjul;Stanovanjske stavbe;2009;4
Horjul;Stanovanjske stavbe;2010;2
Horjul;Stanovanjske stavbe;2011;0
Horjul;Stanovanjske stavbe;2012;3
Horjul;Stanovanjske stavbe;2013;1
Horjul;Stanovanjske stavbe;2014;6
Horjul;Stanovanjske stavbe;2015;5
Horjul;Stanovanjske stavbe;2016;2
Horjul;Stanovanjske stavbe;2017;4
Horjul;Stanovanjske stavbe;2018;9
Horjul;Stanovanjske stavbe;2019;11
Horjul;Stanovanjske stavbe;2020;2
Horjul;Nestanovanjske stavbe;2007;0
Horjul;Nestanovanjske stavbe;2008;0
Horjul;Nestanovanjske stavbe;2009;0
Horjul;Nestanovanjske stavbe;2010;0
Horjul;Nestanovanjske stavbe;2011;1
Horjul;Nestanovanjske stavbe;2012;0
Horjul;Nestanovanjske stavbe;2013;1
Horjul;Nestanovanjske stavbe;2014;1
Horjul;Nestanovanjske stavbe;2015;0
Horjul;Nestanovanjske stavbe;2016;3
Horjul;Nestanovanjske stavbe;2017;5
Horjul;Nestanovanjske stavbe;2018;6
Horjul;Nestanovanjske stavbe;2019;6
Horjul;Nestanovanjske stavbe;2020;3
Hrastnik;Stanovanjske stavbe;2007;9
Hrastnik;Stanovanjske stavbe;2008;8
Hrastnik;Stanovanjske stavbe;2009;7
Hrastnik;Stanovanjske stavbe;2010;5
Hrastnik;Stanovanjske stavbe;2011;12
Hrastnik;Stanovanjske stavbe;2012;2
Hrastnik;Stanovanjske stavbe;2013;3
Hrastnik;Stanovanjske stavbe;2014;5
Hrastnik;Stanovanjske stavbe;2015;8
Hrastnik;Stanovanjske stavbe;2016;4
Hrastnik;Stanovanjske stavbe;2017;7
Hrastnik;Stanovanjske stavbe;2018;7
Hrastnik;Stanovanjske stavbe;2019;2
Hrastnik;Stanovanjske stavbe;2020;6
Hrastnik;Nestanovanjske stavbe;2007;0
Hrastnik;Nestanovanjske stavbe;2008;1
Hrastnik;Nestanovanjske stavbe;2009;1
Hrastnik;Nestanovanjske stavbe;2010;3
Hrastnik;Nestanovanjske stavbe;2011;3
Hrastnik;Nestanovanjske stavbe;2012;2
Hrastnik;Nestanovanjske stavbe;2013;8
Hrastnik;Nestanovanjske stavbe;2014;1
Hrastnik;Nestanovanjske stavbe;2015;5
Hrastnik;Nestanovanjske stavbe;2016;7
Hrastnik;Nestanovanjske stavbe;2017;2
Hrastnik;Nestanovanjske stavbe;2018;6
Hrastnik;Nestanovanjske stavbe;2019;9
Hrastnik;Nestanovanjske stavbe;2020;3
Hrpelje - Kozina;Stanovanjske stavbe;2007;30
Hrpelje - Kozina;Stanovanjske stavbe;2008;21
Hrpelje - Kozina;Stanovanjske stavbe;2009;17
Hrpelje - Kozina;Stanovanjske stavbe;2010;12
Hrpelje - Kozina;Stanovanjske stavbe;2011;3
Hrpelje - Kozina;Stanovanjske stavbe;2012;6
Hrpelje - Kozina;Stanovanjske stavbe;2013;13
Hrpelje - Kozina;Stanovanjske stavbe;2014;1
Hrpelje - Kozina;Stanovanjske stavbe;2015;6
Hrpelje - Kozina;Stanovanjske stavbe;2016;14
Hrpelje - Kozina;Stanovanjske stavbe;2017;9
Hrpelje - Kozina;Stanovanjske stavbe;2018;11
Hrpelje - Kozina;Stanovanjske stavbe;2019;12
Hrpelje - Kozina;Stanovanjske stavbe;2020;31
Hrpelje - Kozina;Nestanovanjske stavbe;2007;10
Hrpelje - Kozina;Nestanovanjske stavbe;2008;2
Hrpelje - Kozina;Nestanovanjske stavbe;2009;2
Hrpelje - Kozina;Nestanovanjske stavbe;2010;4
Hrpelje - Kozina;Nestanovanjske stavbe;2011;0
Hrpelje - Kozina;Nestanovanjske stavbe;2012;1
Hrpelje - Kozina;Nestanovanjske stavbe;2013;2
Hrpelje - Kozina;Nestanovanjske stavbe;2014;0
Hrpelje - Kozina;Nestanovanjske stavbe;2015;2
Hrpelje - Kozina;Nestanovanjske stavbe;2016;8
Hrpelje - Kozina;Nestanovanjske stavbe;2017;11
Hrpelje - Kozina;Nestanovanjske stavbe;2018;9
Hrpelje - Kozina;Nestanovanjske stavbe;2019;2
Hrpelje - Kozina;Nestanovanjske stavbe;2020;10
Idrija;Stanovanjske stavbe;2007;13
Idrija;Stanovanjske stavbe;2008;24
Idrija;Stanovanjske stavbe;2009;9
Idrija;Stanovanjske stavbe;2010;9
Idrija;Stanovanjske stavbe;2011;14
Idrija;Stanovanjske stavbe;2012;18
Idrija;Stanovanjske stavbe;2013;10
Idrija;Stanovanjske stavbe;2014;14
Idrija;Stanovanjske stavbe;2015;21
Idrija;Stanovanjske stavbe;2016;11
Idrija;Stanovanjske stavbe;2017;14
Idrija;Stanovanjske stavbe;2018;13
Idrija;Stanovanjske stavbe;2019;17
Idrija;Stanovanjske stavbe;2020;6
Idrija;Nestanovanjske stavbe;2007;12
Idrija;Nestanovanjske stavbe;2008;10
Idrija;Nestanovanjske stavbe;2009;8
Idrija;Nestanovanjske stavbe;2010;4
Idrija;Nestanovanjske stavbe;2011;3
Idrija;Nestanovanjske stavbe;2012;6
Idrija;Nestanovanjske stavbe;2013;9
Idrija;Nestanovanjske stavbe;2014;9
Idrija;Nestanovanjske stavbe;2015;10
Idrija;Nestanovanjske stavbe;2016;28
Idrija;Nestanovanjske stavbe;2017;26
Idrija;Nestanovanjske stavbe;2018;11
Idrija;Nestanovanjske stavbe;2019;31
Idrija;Nestanovanjske stavbe;2020;21
Ig;Stanovanjske stavbe;2007;25
Ig;Stanovanjske stavbe;2008;12
Ig;Stanovanjske stavbe;2009;27
Ig;Stanovanjske stavbe;2010;6
Ig;Stanovanjske stavbe;2011;5
Ig;Stanovanjske stavbe;2012;12
Ig;Stanovanjske stavbe;2013;18
Ig;Stanovanjske stavbe;2014;14
Ig;Stanovanjske stavbe;2015;16
Ig;Stanovanjske stavbe;2016;21
Ig;Stanovanjske stavbe;2017;21
Ig;Stanovanjske stavbe;2018;21
Ig;Stanovanjske stavbe;2019;11
Ig;Stanovanjske stavbe;2020;14
Ig;Nestanovanjske stavbe;2007;2
Ig;Nestanovanjske stavbe;2008;2
Ig;Nestanovanjske stavbe;2009;3
Ig;Nestanovanjske stavbe;2010;0
Ig;Nestanovanjske stavbe;2011;2
Ig;Nestanovanjske stavbe;2012;1
Ig;Nestanovanjske stavbe;2013;1
Ig;Nestanovanjske stavbe;2014;1
Ig;Nestanovanjske stavbe;2015;2
Ig;Nestanovanjske stavbe;2016;13
Ig;Nestanovanjske stavbe;2017;7
Ig;Nestanovanjske stavbe;2018;7
Ig;Nestanovanjske stavbe;2019;5
Ig;Nestanovanjske stavbe;2020;10
Ilirska Bistrica;Stanovanjske stavbe;2007;25
Ilirska Bistrica;Stanovanjske stavbe;2008;15
Ilirska Bistrica;Stanovanjske stavbe;2009;23
Ilirska Bistrica;Stanovanjske stavbe;2010;22
Ilirska Bistrica;Stanovanjske stavbe;2011;11
Ilirska Bistrica;Stanovanjske stavbe;2012;19
Ilirska Bistrica;Stanovanjske stavbe;2013;12
Ilirska Bistrica;Stanovanjske stavbe;2014;11
Ilirska Bistrica;Stanovanjske stavbe;2015;27
Ilirska Bistrica;Stanovanjske stavbe;2016;9
Ilirska Bistrica;Stanovanjske stavbe;2017;6
Ilirska Bistrica;Stanovanjske stavbe;2018;11
Ilirska Bistrica;Stanovanjske stavbe;2019;2
Ilirska Bistrica;Stanovanjske stavbe;2020;6
Ilirska Bistrica;Nestanovanjske stavbe;2007;6
Ilirska Bistrica;Nestanovanjske stavbe;2008;9
Ilirska Bistrica;Nestanovanjske stavbe;2009;18
Ilirska Bistrica;Nestanovanjske stavbe;2010;7
Ilirska Bistrica;Nestanovanjske stavbe;2011;5
Ilirska Bistrica;Nestanovanjske stavbe;2012;6
Ilirska Bistrica;Nestanovanjske stavbe;2013;3
Ilirska Bistrica;Nestanovanjske stavbe;2014;11
Ilirska Bistrica;Nestanovanjske stavbe;2015;44
Ilirska Bistrica;Nestanovanjske stavbe;2016;46
Ilirska Bistrica;Nestanovanjske stavbe;2017;33
Ilirska Bistrica;Nestanovanjske stavbe;2018;27
Ilirska Bistrica;Nestanovanjske stavbe;2019;14
Ilirska Bistrica;Nestanovanjske stavbe;2020;22
Ivancna Gorica;Stanovanjske stavbe;2007;97
Ivancna Gorica;Stanovanjske stavbe;2008;80
Ivancna Gorica;Stanovanjske stavbe;2009;62
Ivancna Gorica;Stanovanjske stavbe;2010;48
Ivancna Gorica;Stanovanjske stavbe;2011;39
Ivancna Gorica;Stanovanjske stavbe;2012;40
Ivancna Gorica;Stanovanjske stavbe;2013;42
Ivancna Gorica;Stanovanjske stavbe;2014;52
Ivancna Gorica;Stanovanjske stavbe;2015;35
Ivancna Gorica;Stanovanjske stavbe;2016;22
Ivancna Gorica;Stanovanjske stavbe;2017;29
Ivancna Gorica;Stanovanjske stavbe;2018;44
Ivancna Gorica;Stanovanjske stavbe;2019;30
Ivancna Gorica;Stanovanjske stavbe;2020;41
Ivancna Gorica;Nestanovanjske stavbe;2007;8
Ivancna Gorica;Nestanovanjske stavbe;2008;11
Ivancna Gorica;Nestanovanjske stavbe;2009;7
Ivancna Gorica;Nestanovanjske stavbe;2010;22
Ivancna Gorica;Nestanovanjske stavbe;2011;6
Ivancna Gorica;Nestanovanjske stavbe;2012;13
Ivancna Gorica;Nestanovanjske stavbe;2013;13
Ivancna Gorica;Nestanovanjske stavbe;2014;15
Ivancna Gorica;Nestanovanjske stavbe;2015;12
Ivancna Gorica;Nestanovanjske stavbe;2016;63
Ivancna Gorica;Nestanovanjske stavbe;2017;66
Ivancna Gorica;Nestanovanjske stavbe;2018;63
Ivancna Gorica;Nestanovanjske stavbe;2019;42
Ivancna Gorica;Nestanovanjske stavbe;2020;48
Izola/Isola;Stanovanjske stavbe;2007;19
Izola/Isola;Stanovanjske stavbe;2008;17
Izola/Isola;Stanovanjske stavbe;2009;21
Izola/Isola;Stanovanjske stavbe;2010;10
Izola/Isola;Stanovanjske stavbe;2011;14
Izola/Isola;Stanovanjske stavbe;2012;9
Izola/Isola;Stanovanjske stavbe;2013;5
Izola/Isola;Stanovanjske stavbe;2014;5
Izola/Isola;Stanovanjske stavbe;2015;16
Izola/Isola;Stanovanjske stavbe;2016;8
Izola/Isola;Stanovanjske stavbe;2017;13
Izola/Isola;Stanovanjske stavbe;2018;8
Izola/Isola;Stanovanjske stavbe;2019;13
Izola/Isola;Stanovanjske stavbe;2020;6
Izola/Isola;Nestanovanjske stavbe;2007;7
Izola/Isola;Nestanovanjske stavbe;2008;3
Izola/Isola;Nestanovanjske stavbe;2009;0
Izola/Isola;Nestanovanjske stavbe;2010;3
Izola/Isola;Nestanovanjske stavbe;2011;4
Izola/Isola;Nestanovanjske stavbe;2012;1
Izola/Isola;Nestanovanjske stavbe;2013;0
Izola/Isola;Nestanovanjske stavbe;2014;1
Izola/Isola;Nestanovanjske stavbe;2015;0
Izola/Isola;Nestanovanjske stavbe;2016;3
Izola/Isola;Nestanovanjske stavbe;2017;3
Izola/Isola;Nestanovanjske stavbe;2018;0
Izola/Isola;Nestanovanjske stavbe;2019;0
Izola/Isola;Nestanovanjske stavbe;2020;0
Jesenice;Stanovanjske stavbe;2007;28
Jesenice;Stanovanjske stavbe;2008;19
Jesenice;Stanovanjske stavbe;2009;20
Jesenice;Stanovanjske stavbe;2010;13
Jesenice;Stanovanjske stavbe;2011;9
Jesenice;Stanovanjske stavbe;2012;8
Jesenice;Stanovanjske stavbe;2013;8
Jesenice;Stanovanjske stavbe;2014;12
Jesenice;Stanovanjske stavbe;2015;6
Jesenice;Stanovanjske stavbe;2016;7
Jesenice;Stanovanjske stavbe;2017;9
Jesenice;Stanovanjske stavbe;2018;7
Jesenice;Stanovanjske stavbe;2019;8
Jesenice;Stanovanjske stavbe;2020;7
Jesenice;Nestanovanjske stavbe;2007;7
Jesenice;Nestanovanjske stavbe;2008;5
Jesenice;Nestanovanjske stavbe;2009;5
Jesenice;Nestanovanjske stavbe;2010;7
Jesenice;Nestanovanjske stavbe;2011;2
Jesenice;Nestanovanjske stavbe;2012;4
Jesenice;Nestanovanjske stavbe;2013;5
Jesenice;Nestanovanjske stavbe;2014;4
Jesenice;Nestanovanjske stavbe;2015;8
Jesenice;Nestanovanjske stavbe;2016;8
Jesenice;Nestanovanjske stavbe;2017;14
Jesenice;Nestanovanjske stavbe;2018;14
Jesenice;Nestanovanjske stavbe;2019;0
Jesenice;Nestanovanjske stavbe;2020;2
Jezersko;Stanovanjske stavbe;2007;1
Jezersko;Stanovanjske stavbe;2008;0
Jezersko;Stanovanjske stavbe;2009;2
Jezersko;Stanovanjske stavbe;2010;1
Jezersko;Stanovanjske stavbe;2011;0
Jezersko;Stanovanjske stavbe;2012;1
Jezersko;Stanovanjske stavbe;2013;2
Jezersko;Stanovanjske stavbe;2014;1
Jezersko;Stanovanjske stavbe;2015;1
Jezersko;Stanovanjske stavbe;2016;1
Jezersko;Stanovanjske stavbe;2017;2
Jezersko;Stanovanjske stavbe;2018;2
Jezersko;Stanovanjske stavbe;2019;2
Jezersko;Stanovanjske stavbe;2020;0
Jezersko;Nestanovanjske stavbe;2007;0
Jezersko;Nestanovanjske stavbe;2008;1
Jezersko;Nestanovanjske stavbe;2009;0
Jezersko;Nestanovanjske stavbe;2010;0
Jezersko;Nestanovanjske stavbe;2011;1
Jezersko;Nestanovanjske stavbe;2012;0
Jezersko;Nestanovanjske stavbe;2013;0
Jezersko;Nestanovanjske stavbe;2014;1
Jezersko;Nestanovanjske stavbe;2015;1
Jezersko;Nestanovanjske stavbe;2016;1
Jezersko;Nestanovanjske stavbe;2017;0
Jezersko;Nestanovanjske stavbe;2018;1
Jezersko;Nestanovanjske stavbe;2019;0
Jezersko;Nestanovanjske stavbe;2020;0
Jursinci;Stanovanjske stavbe;2007;7
Jursinci;Stanovanjske stavbe;2008;6
Jursinci;Stanovanjske stavbe;2009;3
Jursinci;Stanovanjske stavbe;2010;1
Jursinci;Stanovanjske stavbe;2011;2
Jursinci;Stanovanjske stavbe;2012;1
Jursinci;Stanovanjske stavbe;2013;9
Jursinci;Stanovanjske stavbe;2014;6
Jursinci;Stanovanjske stavbe;2015;9
Jursinci;Stanovanjske stavbe;2016;9
Jursinci;Stanovanjske stavbe;2017;5
Jursinci;Stanovanjske stavbe;2018;5
Jursinci;Stanovanjske stavbe;2019;5
Jursinci;Stanovanjske stavbe;2020;2
Jursinci;Nestanovanjske stavbe;2007;0
Jursinci;Nestanovanjske stavbe;2008;1
Jursinci;Nestanovanjske stavbe;2009;1
Jursinci;Nestanovanjske stavbe;2010;0
Jursinci;Nestanovanjske stavbe;2011;0
Jursinci;Nestanovanjske stavbe;2012;0
Jursinci;Nestanovanjske stavbe;2013;0
Jursinci;Nestanovanjske stavbe;2014;0
Jursinci;Nestanovanjske stavbe;2015;3
Jursinci;Nestanovanjske stavbe;2016;7
Jursinci;Nestanovanjske stavbe;2017;0
Jursinci;Nestanovanjske stavbe;2018;2
Jursinci;Nestanovanjske stavbe;2019;3
Jursinci;Nestanovanjske stavbe;2020;1
Kamnik;Stanovanjske stavbe;2007;39
Kamnik;Stanovanjske stavbe;2008;37
Kamnik;Stanovanjske stavbe;2009;79
Kamnik;Stanovanjske stavbe;2010;55
Kamnik;Stanovanjske stavbe;2011;32
Kamnik;Stanovanjske stavbe;2012;27
Kamnik;Stanovanjske stavbe;2013;31
Kamnik;Stanovanjske stavbe;2014;31
Kamnik;Stanovanjske stavbe;2015;32
Kamnik;Stanovanjske stavbe;2016;42
Kamnik;Stanovanjske stavbe;2017;42
Kamnik;Stanovanjske stavbe;2018;31
Kamnik;Stanovanjske stavbe;2019;34
Kamnik;Stanovanjske stavbe;2020;33
Kamnik;Nestanovanjske stavbe;2007;8
Kamnik;Nestanovanjske stavbe;2008;12
Kamnik;Nestanovanjske stavbe;2009;11
Kamnik;Nestanovanjske stavbe;2010;13
Kamnik;Nestanovanjske stavbe;2011;9
Kamnik;Nestanovanjske stavbe;2012;17
Kamnik;Nestanovanjske stavbe;2013;7
Kamnik;Nestanovanjske stavbe;2014;4
Kamnik;Nestanovanjske stavbe;2015;7
Kamnik;Nestanovanjske stavbe;2016;28
Kamnik;Nestanovanjske stavbe;2017;30
Kamnik;Nestanovanjske stavbe;2018;11
Kamnik;Nestanovanjske stavbe;2019;13
Kamnik;Nestanovanjske stavbe;2020;15
Kanal;Stanovanjske stavbe;2007;11
Kanal;Stanovanjske stavbe;2008;4
Kanal;Stanovanjske stavbe;2009;8
Kanal;Stanovanjske stavbe;2010;7
Kanal;Stanovanjske stavbe;2011;3
